edge_id,way_id,name,lat,lon,start_node,end_node
-156898479#1,156898479,Ngõ 75 Trần Thái Tông,21.0331904,105.7892119,1691398139,10232835401
-156898479#2,156898479,Ngõ 75 Trần Thái Tông,21.0330629,105.789816,10233068688,1691398139
-156898479#3,156898479,Ngõ 75 Trần Thái Tông,21.0329801,105.7902,1691398099,10233068688
-156898479#4,156898479,Ngõ 75 Trần Thái Tông,21.0329422,105.7903628,10260853691,1691398099
-156898479#5,156898479,Ngõ 75 Trần Thái Tông,21.0328936,105.7905846,cluster_10260853671_1691398121,10260853691
-156898479#6,156898479,Ngõ 75 Trần Thái Tông,21.0327829,105.7911058,10260860260,cluster_10260853671_1691398121
-156898479#7,156898479,Ngõ 75 Trần Thái Tông,21.0327012,105.7914876,cluster_10260860266_1691398076,10260860260
-157338919#0,157338919,Phố Tô Hiệu,21.0416139,105.7940624,cluster_10304971616_1695498293,cluster_10304971560_317129311
-157338919#4,157338919,Phố Tô Hiệu,21.0416228,105.7916963,cluster_11641081271_11641081272,cluster_10304971613_1613088022
-157338919#5,157338919,Phố Tô Hiệu,21.041624,105.7912459,cluster_10304971612_5703749361,cluster_11641081271_11641081272
-157339298#0,157339298,Ngõ 233 Phố Tô Hiệu,21.0398438,105.7925541,5707249878,1695508270
-157339298#1,157339298,Ngõ 233 Phố Tô Hiệu,21.0401611,105.7925695,1695508268,5707249878
-157339299#1,157339299,Đường B4 Làng Quốc Tế Thăng Long,21.0394037,105.7922698,1695508270,cluster_10304262627_1695508242
-157339300#0,157339300,Nội khu Làng Quốc Tế Thăng Long,21.0394409,105.793112,5707249882,1695508224
-157339300#1,157339300,Nội khu Làng Quốc Tế Thăng Long,21.0394835,105.7936081,5707249886,5707249882
-157339311#0,157339311,Ngõ 37 Trần Quốc Hoàn,21.0398496,105.7877919,1745050414,1695508240
-157339311#1,157339311,Ngõ 37 Trần Quốc Hoàn,21.0400372,105.7877991,cluster_10236726402_1745050420,1745050414
-157339311#10,157339311,Ngõ 37 Trần Quốc Hoàn,21.0413223,105.7877544,1745050233,1695508241
-157339311#11,157339311,Ngõ 37 Trần Quốc Hoàn,21.041482,105.787751,cluster_10248832788_1695508239,1745050233
-157339311#3,157339311,Ngõ 37 Trần Quốc Hoàn,21.0402697,105.7877996,1745050335,cluster_10236726402_1745050420
-157339311#4,157339311,Ngõ 37 Trần Quốc Hoàn,21.0404635,105.787785,1745050394,1745050335
-157339311#5,157339311,Ngõ 37 Trần Quốc Hoàn,21.0406709,105.7877708,1745050223,1745050394
-157339311#6,157339311,Ngõ 37 Trần Quốc Hoàn,21.0408315,105.7877647,9294859779,1745050223
-157339311#7,157339311,Ngõ 37 Trần Quốc Hoàn,21.0409493,105.7877612,1745050366,9294859779
-157339311#8,157339311,Ngõ 37 Trần Quốc Hoàn,21.0410638,105.7877586,1745050235,1745050366
-157339311#9,157339311,Ngõ 37 Trần Quốc Hoàn,21.0411808,105.787757,1695508241,1745050235
-157394815#1,157394815,Phố Trần Quốc Vượng,21.0360357,105.7866332,cluster_11662355223_11662355235,cluster_1696156952_1696156961
-157394815#11,157394815,Phố Trần Quốc Vượng,21.0344837,105.7841012,5717068927,cluster_11562932847_11652151107
-157394815#12,157394815,Phố Trần Quốc Vượng,21.0342911,105.7836465,1025803411,5717068927
-157394815#13,157394815,Phố Trần Quốc Vượng,21.0342777,105.7833845,4074799409,1025803411
-157394815#3,157394815,Phố Trần Quốc Vượng,21.0356599,105.7861976,10270885404,cluster_11662355223_11662355235
-157394815#4,157394815,Phố Trần Quốc Vượng,21.0354987,105.7859345,6406223611,10270885404
-157394815#5,157394815,Phố Trần Quốc Vượng,21.0353585,105.7857057,6406223609,6406223611
-157394815#6,157394815,Phố Trần Quốc Vượng,21.0351873,105.7854316,cluster_11238079587_11662381223,6406223609
-157394815#8,157394815,Phố Trần Quốc Vượng,21.0349948,105.7851154,11652150973,cluster_11238079587_11662381223
-157394815#9,157394815,Phố Trần Quốc Vượng,21.0348394,105.7848136,cluster_11562932847_11652151107,11652150973
-157394824#0,157394824,Phố Trương Công Giai,21.0357368,105.7914721,1696157003,cluster_1696156980_1696156982_444250174_6638366121_#2more
-157394824#1,157394824,Phố Trương Công Giai,21.0355927,105.7914027,cluster_10232835472_5710551794,1696157003
-157394824#10,157394824,Phố Trương Công Giai,21.0330326,105.7903193,1691398099,10260853688
-157394824#11,157394824,Phố Trương Công Giai,21.0328529,105.7902775,10260853685,1691398099
-157394824#12,157394824,Phố Trương Công Giai,21.032667,105.7902356,cluster_10233068632_10233068659_10233068744_1691398113,10260853685
-157394824#14,157394824,Phố Trương Công Giai,21.0321477,105.7901166,1691398114,cluster_10233068632_10233068659_10233068744_1691398113
-157394824#15,157394824,Phố Trương Công Giai,21.0317208,105.7900151,10233068560,1691398114
-157394824#16,157394824,Phố Trương Công Giai,21.0315548,105.7899754,1691398092,10233068560
-157394824#17,157394824,Phố Trương Công Giai,21.0313979,105.7899382,10232999211,1691398092
-157394824#18,157394824,Phố Trương Công Giai,21.031055,105.7898564,cluster_10230902707_1691398067,10232999211
-157394824#19,157394824,Phố Trương Công Giai,21.0304405,105.7897061,10232835319,cluster_10230902707_1691398067
-157394824#2,157394824,Phố Trương Công Giai,21.0353091,105.7912547,cluster_11813491208_11813500980,cluster_10232835472_5710551794
-157394824#20,157394824,Phố Trương Công Giai,21.0301391,105.7896307,1691398154,10232835319
-157394824#3,157394824,Phố Trương Công Giai,21.0349679,105.7910717,cluster_10260853627_5710551790,cluster_11813491208_11813500980
-157394824#8,157394824,Phố Trương Công Giai,21.0337988,105.7905013,cluster_10233068682_6403277266,cluster_10233068748_10260853675_10260853677_10260853681_#1more
-157394824#9,157394824,Phố Trương Công Giai,21.0333536,105.7903926,10260853688,cluster_10233068682_6403277266
